data,preco,^GSPC
2025-08-19,628331.3820784547,6411.3701171875
2025-08-19,631058.2990579432,6411.3701171875
2025-08-19,630532.8577954108,6411.3701171875
2025-08-19,624575.7715781835,6411.3701171875
2025-08-19,623564.7161768114,6411.3701171875
2025-08-19,621125.3876288031,6411.3701171875
2025-08-19,622324.668871671,6411.3701171875
2025-08-19,619733.9098481742,6411.3701171875
2025-08-19,623095.9612274092,6411.3701171875
2025-08-19,625076.2497518936,6411.3701171875
2025-08-19,623745.804303266,6411.3701171875
2025-08-19,622390.3265911782,6411.3701171875
2025-08-20,620907.2101404098,6395.77978515625
2025-08-20,622660.5876563992,6395.77978515625
2025-08-20,621689.8882270334,6395.77978515625
2025-08-20,623846.0641116911,6395.77978515625
2025-08-20,624203.9456227516,6395.77978515625
2025-08-20,624548.5939241212,6395.77978515625
2025-08-20,625395.1524754,6395.77978515625
2025-08-20,624983.1727853693,6395.77978515625
2025-08-20,624197.8568524872,6395.77978515625
2025-08-20,627023.359375179,6395.77978515625
2025-08-20,626917.2919092601,6395.77978515625
2025-08-20,626503.7744935227,6395.77978515625
2025-08-20,626909.754648843,6395.77978515625
2025-08-20,622908.1893124157,6395.77978515625
2025-08-20,617251.8003093613,6395.77978515625
2025-08-20,620855.4257108993,6395.77978515625
2025-08-20,620725.2804201528,6395.77978515625
2025-08-20,623350.2762063578,6395.77978515625
2025-08-20,624789.6727538046,6395.77978515625
2025-08-20,621587.7368786732,6395.77978515625
2025-08-20,625133.6755111242,6395.77978515625
2025-08-20,626978.9091048151,6395.77978515625
2025-08-20,626557.0939150052,6395.77978515625
2025-08-20,627417.1152648623,6395.77978515625
2025-08-21,625658.2142172506,6370.169921875
2025-08-21,625987.6209113746,6370.169921875
2025-08-21,628122.1268351133,6370.169921875
2025-08-21,624140.7200567427,6370.169921875
2025-08-21,624170.7479692758,6370.169921875
2025-08-21,623100.1327576552,6370.169921875
2025-08-21,623923.0615127576,6370.169921875
2025-08-21,622789.8448851189,6370.169921875
2025-08-21,623924.3323106881,6370.169921875
2025-08-21,622976.0225865601,6370.169921875
2025-08-21,622227.5062115162,6370.169921875
2025-08-21,621719.2597560248,6370.169921875
2025-08-21,620315.636429265,6370.169921875
2025-08-21,620177.0713140508,6370.169921875
2025-08-21,622256.7351953406,6370.169921875
2025-08-21,621061.5919013217,6370.169921875
2025-08-21,619046.9336725912,6370.169921875
2025-08-21,616268.9881365219,6370.169921875
2025-08-21,615381.0173476195,6370.169921875
2025-08-21,616363.58494507,6370.169921875
2025-08-21,613617.5221216355,6370.169921875
2025-08-21,616525.464885475,6370.169921875
2025-08-21,615371.9911543487,6370.169921875
2025-08-21,614900.9302660958,6370.169921875
2025-08-22,614490.8340277759,6466.91015625
2025-08-22,615352.970608182,6466.91015625
2025-08-22,616673.5194363295,6466.91015625
2025-08-22,619126.6548546265,6466.91015625
2025-08-22,617427.9819475437,6466.91015625
2025-08-22,616521.0989013978,6466.91015625
2025-08-22,618805.2462256196,6466.91015625
2025-08-22,617449.6430230608,6466.91015625
2025-08-22,618071.4811705621,6466.91015625
2025-08-22,617435.9208079556,6466.91015625
2025-08-22,617793.6173072325,6466.91015625
2025-08-22,614885.2508070273,6466.91015625
2025-08-22,614756.2819368205,6466.91015625
2025-08-22,613991.4886472087,6466.91015625
2025-08-22,615617.7452010135,6466.91015625
2025-08-22,628435.4984292195,6466.91015625
2025-08-22,632766.3123760765,6466.91015625
2025-08-22,630419.445809733,6466.91015625
2025-08-22,633582.3165122592,6466.91015625
2025-08-22,632889.4158885675,6466.91015625
2025-08-22,632699.6193651374,6466.91015625
2025-08-22,633596.0027789156,6466.91015625
2025-08-22,634363.5372981587,6466.91015625
2025-08-22,632598.4925857933,6466.91015625
2025-08-25,614902.3610222948,6439.31982421875
2025-08-25,610505.7135841468,6439.31982421875
2025-08-25,613050.5638713482,6439.31982421875
2025-08-25,615084.8534600206,6439.31982421875
2025-08-25,613579.0702815374,6439.31982421875
2025-08-25,611233.0296404202,6439.31982421875
2025-08-25,609401.8311775905,6439.31982421875
2025-08-25,607900.263897859,6439.31982421875
2025-08-25,607281.0840563973,6439.31982421875
2025-08-25,607263.0858525843,6439.31982421875
2025-08-25,607771.045398449,6439.31982421875
2025-08-25,604288.5030153104,6439.31982421875
2025-08-25,604028.6015885961,6439.31982421875
2025-08-25,605067.290748977,6439.31982421875
2025-08-25,603762.6592081776,6439.31982421875
2025-08-25,606428.329438252,6439.31982421875
2025-08-25,607545.9897015297,6439.31982421875
2025-08-25,608578.1649451444,6439.31982421875
2025-08-25,608612.0169647489,6439.31982421875
2025-08-25,608168.3660115986,6439.31982421875
2025-08-25,600643.3256367532,6439.31982421875
2025-08-25,593888.1315344229,6439.31982421875
2025-08-25,596123.20048594,6439.31982421875
2025-08-25,596470.262981906,6439.31982421875
2025-08-26,596102.8777003676,6465.93994140625
2025-08-26,590881.3344122805,6465.93994140625
2025-08-26,593600.0410974218,6465.93994140625
2025-08-26,593602.0619378625,6465.93994140625
2025-08-26,594743.9855828505,6465.93994140625
2025-08-26,595779.4098221624,6465.93994140625
2025-08-26,596790.9558327463,6465.93994140625
2025-08-26,595204.7053332643,6465.93994140625
2025-08-26,597308.5538222736,6465.93994140625
2025-08-26,596298.7614322988,6465.93994140625
2025-08-26,596290.6489544278,6465.93994140625
2025-08-26,596440.9993701426,6465.93994140625
2025-08-26,593598.8085869822,6465.93994140625
2025-08-26,595871.9959910316,6465.93994140625
2025-08-26,594393.1495024884,6465.93994140625
2025-08-26,599334.8953651024,6465.93994140625
2025-08-26,596138.4433652967,6465.93994140625
2025-08-26,598291.2434060763,6465.93994140625
2025-08-26,597808.6650227901,6465.93994140625
2025-08-26,602112.1330110065,6465.93994140625
2025-08-26,603575.8966622396,6465.93994140625
